bizplc_nm,bizcond_div_nm_info,store_div_nm,bsn_state_nm,licensg_ymd,clsbiz_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,locplc_ar_info,refine_wgs84_lat,refine_wgs84_logt
GS THE FRESH 안양어반포레점,구분없음,준대규모점포,정상영업,20250729,,"경기도 안양시 만안구 냉천로 125, 3단지 상가 112~115호 (안양동, 안양어반포레자연앤이편한세상 3단지)",경기도 안양시 만안구 안양동 618-12 안양어반포레자연앤이편한세상 3단지,14029,,181.02,37.3909504313,126.9218294191
(주)현대종합시장상가,그 밖의 대규모점포,,정상영업,19801030,,경기도 안양시 동안구 흥안대로133번길 34 (호계동),경기도 안양시동안구 호계동 997호,14112,031-456-5235,,37.3725503753,126.959297923
롯데쇼핑(주)롯데백화점 평촌점,쇼핑센터,대규모점포,정상영업,20120327,,"경기도 안양시 동안구 시민대로 180 (호계동, G.SQURE)","경기도 안양시 동안구 호계동 1039번지 1039, 1039-1, 1053-1",14073,031-450-2500,53803.33,37.3899963052,126.9504628149
(주)지에스리테일 GS수퍼 안양메가트리아점,구분없음,준대규모점포,정상영업,20170623,,"경기도 안양시 만안구 태평로52번길 21, 지층 B103, B104호 (안양동)",경기도 안양시 만안구 안양동 1391,14037,031-469-8310,893.16,37.3955263732,126.9304934351
(주)엔터식스패션쇼핑몰 안양점,백화점,대규모점포,정상영업,20190814,,경기도 안양시 만안구 만안로 232 (안양동),경기도 안양시 만안구 안양동 88번지 1호,13992,031-5177-6000,23631.23,37.4014300883,126.9230030459
GS THE FRESH 평촌어바인점,구분없음,준대규모점포,정상영업,20210406,,"경기도 안양시 동안구 경수대로 579, 상가1동 1층 108,109,110,111호 (호계동)",경기도 안양시 동안구 호계동 956,14116,02-2006-2364,196.8,37.3742946415,126.9563714356
GS THE FRESH 안양호계점,구분없음,준대규모점포,정상영업,20210929,,"경기도 안양시 동안구 경수대로 428, 덕유파크 1층 101~106, 126호 (호계동)",경기도 안양시 동안구 호계동 873 덕유파크,14126,02-2006-2364,296.15,37.3622442111,126.96249994
GS THE FRESH 안양비산점,구분없음,준대규모점포,정상영업,20220408,,,경기도 안양시 동안구 비산동 515-2 평촌자이아이파크 상가2동 부출입구 1층 101~103호,13916,02-2006-2678,214.87,,
롯데슈퍼 평촌엘프가맹점,구분없음,준대규모점포,정상영업,20240625,,"경기도 안양시 동안구 매곡로 23, 1단지상가 122호 (비산동, 평촌엘프라우드)",경기도 안양시 동안구 비산동 281-1 1단지상가 122호,13917,,580.2,37.4063536983,126.9422305018
이천일아울렛 안양점,쇼핑센터,대규모점포,정상영업,19971216,,경기도 안양시 만안구 안양로 275 (안양동),경기도 안양시만안구 안양동 627번지 287호,13997,031-449-2001,8174,37.3967322514,126.9226549374
(주)뉴코아아울렛 평촌점,복합쇼핑몰,대규모점포,정상영업,19990722,,경기도 안양시 동안구 동안로 119 (호계동),경기도 안양시동안구 호계동 1039번지 3호,14073,031-380-7536,41816,37.3892156001,126.9512140946
안양국제유통단지,그 밖의 대규모점포,대규모점포,정상영업,20010315,,"경기도 안양시 동안구 엘에스로 92 (호계동, 안양국제유통단지)",경기도 안양시 동안구 호계동 555번지 9호,431763,031-479-3000,108067,,
샤크존,그 밖의 대규모점포,,정상영업,20010316,,경기도 안양시 동안구 평촌대로243번길 30 (비산동),경기도 안양시동안구 비산동 1110번지 1호,14047,031-345-6903,,37.3928385652,126.953040428
(주)이마트에브리데이 비산동점,구분없음,준대규모점포,폐업처리,20111004,20241004,"경기도 안양시 동안구 학의로 20, 1동 지하층 제1호 (비산동, 관악타운 종합상가 )",경기도 안양시 동안구 부흥동 1102번지 관악타운 종합상가 제1동 제지하층 제1호,431816,031-382-1509,797.47,37.393451525,126.9433880666
홈플러스(주)익스프레스 안양호계점,구분없음,준대규모점포,폐업처리,20120313,20220731,경기도 안양시 동안구 경수대로 428 (호계동),경기도 안양시 동안구 호계3동 873번지,431835,031-451-8545,241.89,37.3622442111,126.96249994
롯데쇼핑(주)롯데슈퍼 안양비산점,구분없음,준대규모점포,폐업처리,20120322,20211130,"경기도 안양시 동안구 동안로 271 (비산동, 뉴타운아파트상가동)",경기도 안양시 동안구 비산3동 354번지 10호 뉴타운아파트 상가동,431823,031-8382-5603,435.7,37.4015380396,126.9455653676
비산시장,그 밖의 대규모점포,,폐업처리,19791222,20180219,경기도 안양시 동안구 경수대로898번길 59 (비산동),경기도 안양시동안구 비산동 419번지 30호,,031-385-3823,0,,
관악시장,그 밖의 대규모점포,,폐업처리,19800329,20150603,경기도 안양시 만안구 예술공원로64번길 27 (안양동),경기도 안양시만안구 안양동 41번지 5호,13958,031-473-7319,0,,
안양월드,대형마트,,폐업처리,19960403,20140925,,경기도 안양시만안구 안양동 900번지 10 호,,031-442-1600,0,,
홈플러스(주) 안양점,복합쇼핑몰,대규모점포,폐업처리,19990210,20240831,경기도 안양시 동안구 엘에스로 92 (호계동),경기도 안양시 동안구 호계동 555번지 9호,14117,031-459-6135,11034.15,37.3716127805,126.9514327046
롯데쇼핑(주) 롯데백화점 안양점,백화점,대규모점포,폐업처리,20020404,20191205,경기도 안양시 만안구 만안로 244-0 (안양동),경기도 안양시 만안구 안양1동 88번지 1호,430011,031-463-2800,23552.51,37.4029764684,126.9221889785
본백화점,백화점,대규모점포,폐업처리,19831122,20010904,경기도 안양시 만안구 안양로 316 (안양동),경기도 안양시만안구 안양동 668번지 33호,13992,031-443-0171,0,37.4005620513,126.9206031487
(주)뉴코아 평촌지점,백화점,대규모점포,폐업처리,19941201,20170929,경기도 안양시 동안구 시민대로 182 (호계동),경기도 안양시동안구 호계동 1040번지 1호,14072,031-389-5174,23229,37.3909118526,126.9515745283
월마트슈퍼센터 평촌점,그 밖의 대규모점포,,휴업처리,20050504,,경기도 안양시 동안구 시민대로 300,경기도 안양시동안구 관양동 1608-3호,14066,,10130.95,37.3949065751,126.9637241704
까르푸 안양하이퍼마켓,대형마트,,휴업처리,19990210,,,경기도 안양시동안구 호계동 555-9호,14117,031-479-1276,0,37.370051815,126.9530364977
뉴코아백화점 평촌점,백화점,,휴업처리,19941201,,경기도 안양시 동안구 시민대로 182 (호계동),경기도 안양시동안구 호계동 1040호,14072,031-380-5000,23229,37.3909118526,126.9515745283
E-마트,대형마트,,휴업처리,19970813,,경기도 안양시 동안구 관악대로 104 (비산동),경기도 안양시동안구 비산동 411번지 8호,13954,031-380-3350,8992.69,37.3983346986,126.9353077463
월마트슈퍼센터 평촌점,대형마트,,휴업처리,20020829,,경기도 안양시 동안구 시민대로 300 (관양동),경기도 안양시동안구 관양동 1608번지 3호,14066,031-381-6004,10130.95,37.3949065751,126.9637241704
한양프라자 평촌점,그 밖의 대규모점포,,휴업처리,20000209,,경기도 안양시 동안구 달안로 62 (비산동),경기도 안양시동안구 비산동 1109호,,031-381-0022,6167.92,,
제페(JEFE),그 밖의 대규모점포,,휴업처리,20010910,,경기도 안양시 만안구 안양로 316 (안양동),경기도 안양시만안구 안양동 668번지 33호,13992,031-443-0171,6987.46,37.4005620513,126.9206031487
중부농수산물(주),그 밖의 대규모점포,,,19910320,,경기도 안양시 만안구 안양로248번길 23 (안양동),경기도 안양시만안구 안양동 622번지 337호,13996,031-449-3430,952.53,37.3958993551,126.9256100184
