inst_nm,sigun_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,rprs_telno_info,mon_bgng_treat_hr,mon_end_treat_hr,tue_bgng_treat_hr,tue_end_treat_hr,wed_bgng_treat_hr,wed_end_treat_hr,thu_bgng_treat_hr,thu_end_treat_hr,fri_bgng_treat_hr,fri_end_treat_hr,sat_bgng_treat_hr,sat_end_treat_hr,sun_bgng_treat_hr,sun_end_treat_hr,holdy_bgng_treat_hr,holdy_end_treat_hr,refine_wgs84_lat,refine_wgs84_logt
다나약국,안양시,,경기도 안양시 만안구 석수동 277-2번지,13963,031-471-1599,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,18:00,,,,,37.4149777,126.9084231
다보온누리약국,안양시,,경기도 안양시 만안구 안양동 1393번지 래미안안양메가트리아 지하1층,14038,031-446-3936,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,16:00,,,,,37.3928844,126.9340494
다사랑약국,안양시,경기도 안양시 동안구 관악대로 472,경기도 안양시 동안구 관양동 1487-20번지,13950,031-423-5125,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,,,09:00,17:00,37.4030225,126.9745809
다정약국,안양시,,"경기도 안양시 동안구 관평로 305, 102호 (관양동)",,031-388-5557,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,,,
다정약국,안양시,경기도 안양시 만안구 안양로 119,경기도 안양시 만안구 안양동 548-1번지 계양빌딩 1층,14093,031-464-7588,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,37.3853127,126.9321521
대림약국,안양시,경기도 안양시 만안구 안양로 97,경기도 안양시 만안구 안양동 574-1번지,14093,031-449-8005,08:30,21:30,08:30,21:30,08:30,21:30,08:30,21:30,08:30,21:30,08:30,20:30,,,09:00,20:00,37.3836706,126.9336781
대명약국,안양시,경기도 안양시 동안구 평촌대로223번길 64,경기도 안양시 동안구 호계동 1045-2번지 제일빌딩 1층,14072,031-385-8596,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,,,,,37.3905184,126.9522552
대성약국,안양시,경기도 안양시 만안구 와룡로28번길 14,경기도 안양시 만안구 석수동 781-1번지,13974,031-471-4726,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,16:00,,,08:30,14:00,37.406789,126.8986571
대웅약국,안양시,경기도 안양시 동안구 관평로 330,경기도 안양시 동안구 관양동 1408번지 광명빌딩 1층,13931,031-384-8000,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,20:30,,,,,37.4056341,126.9580659
대원약국,안양시,경기도 안양시 동안구 귀인로 253,경기도 안양시 동안구 평촌동 898-6번지 초원아파트대원상가 137-1호,14070,031-385-0078,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,18:00,,,10:00,21:00,37.3876725,126.9666111
대학당약국,안양시,경기도 안양시 동안구 경수대로 556,경기도 안양시 동안구 호계동 996번지 1층,14112,031-453-5454,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,,,09:00,21:00,37.3722654,126.9581027
대한약국,안양시,경기도 안양시 동안구 흥안대로223번길 43,경기도 안양시 동안구 호계동 1121번지 대우한양아파트 상가 121호,14106,031-458-3248,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,15:00,,,,,37.3761472,126.965326
덕천태평양약국,안양시,경기도 안양시 만안구 태평로52번길 47,경기도 안양시 만안구 안양동 1389-3번지 덕천디스퀘어 103호,14037,031-443-7605,09:30,19:30,09:30,19:30,09:30,19:30,09:30,19:30,09:30,19:30,,,,,,,37.3963969,126.931594
도움온누리약국,안양시,경기도 안양시 동안구 동안로 194,경기도 안양시 동안구 비산동 1101-2번지 한양스포츠센타 2층 209호,14043,031-388-5750,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,,37.39584,126.9491435
독도는우리땅약국,안양시,경기도 안양시 만안구 안양로 445,경기도 안양시 만안구 석수동 314-10번지,13970,031-474-1221,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,16:00,,,,,37.4098119,126.9118424
동문약국,안양시,경기도 안양시 동안구 흥안대로 525,경기도 안양시 동안구 관양동 1502-9번지 1층 102호,13951,031-424-6730,09:30,21:00,09:30,21:00,09:30,21:00,09:30,21:00,09:30,21:00,09:30,19:00,,,15:00,21:00,37.4008847,126.9762454
동아당약국,안양시,경기도 안양시 만안구 석천로 181,경기도 안양시 만안구 석수동 289-8번지,13968,031-472-0329,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,,,09:00,21:00,37.4127354,126.9088588
동안약국,안양시,경기도 안양시 동안구 귀인로 107-1,경기도 안양시 동안구 호계동 925-18번지 1층,14078,031-348-9788,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,17:00,,,09:00,20:00,37.3825564,126.9516353
동양비타민약국,안양시,경기도 안양시 동안구 흥안대로 516,경기도 안양시 동안구 관양동 1505-22번지 멤피스타워 102호,13943,031-422-0567,08:15,20:00,08:15,20:00,08:15,20:00,08:15,20:00,08:15,20:00,08:15,15:00,,,,,37.4000429,126.9774941
동편약국,안양시,경기도 안양시 동안구 동편로 136,경기도 안양시 동안구 관양동 1677번지 경진빌딩 106호,13928,031-426-1119,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,,37.410128,126.9671073
든든약국,안양시,경기도 안양시 만안구 박달로 489,경기도 안양시 만안구 박달동 99-8번지 1층,13983,031-443-0887,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.4027479,126.9069826
든든온누리약국,안양시,경기도 안양시 동안구 흥안대로 533,경기도 안양시 동안구 관양동 1488-35번지 인덕원골드프라자 4층 402호,13951,031-424-1139,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.4016054,126.9761613
뜰약국,안양시,경기도 안양시 동안구 관악대로 104,경기도 안양시 동안구 비산동 411-8번지 리홈안양이마트 2층,13954,070-8886-2587,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,,,,,,,37.3983346,126.9353077
라라약국,안양시,경기도 안양시 동안구 동안로 120,경기도 안양시 동안구 호계동 1051번지 평촌스포츠센타 1층 101호,14072,031-000-0000,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3895629,126.9522508
럭키약국,안양시,경기도 안양시 동안구 관평로 260,경기도 안양시 동안구 관양동 1587번지 공작럭키아파트 상가 201호,14050,031-386-5652,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,14:00,,,,,37.3996809,126.9571597
레몬약국,안양시,경기도 안양시 동안구 비산로 18,경기도 안양시 동안구 비산동 1185번지 평촌자이아이파크 1층 106호,13924,031-466-1903,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,37.4001274,126.9332154
로즈마리한약국,안양시,경기도 안양시 동안구 부림로 174,경기도 안양시 동안구 관양동 1119-1번지 1층,14055,031-425-5802,10:30,18:30,10:30,18:30,10:30,14:00,10:30,18:30,10:30,18:30,10:30,14:00,,,,,37.3985776,126.962297
롯데평촌바라기한약국,안양시,경기도 안양시 동안구 시민대로 180,"경기도 안양시 동안구 호계동 1039번지 G.SQURE, 롯데백화점 평촌점 지하1층",14073,031-8086-9084,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3899963,126.9504628
리본약국,안양시,경기도 안양시 만안구 안양로 316,경기도 안양시 만안구 안양동 668-33번지 본프라자 117호,13992,031-441-7162,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,16:00,,,,,37.400562,126.9206031
메디칼온누리약국,안양시,경기도 안양시 동안구 평촌대로 352,경기도 안양시 동안구 비산동 1033-2번지 성준빌딩 1층,13941,031-476-3838,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,16:00,,,09:00,12:00,37.4021909,126.950272
메디컬건강약국,안양시,경기도 안양시 동안구 엘에스로 91,경기도 안양시 동안구 호계동 1029-6번지 105호,14119,031-360-4578,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,,,37.3703754,126.9508996
메디팜안심약국,안양시,경기도 안양시 만안구 관악대로 14,경기도 안양시 만안구 안양동 380-27번지 1층,14032,031-466-4322,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,14:30,,,,,37.3946973,126.9268054
명약국,안양시,경기도 안양시 만안구 안양로 298,경기도 안양시 만안구 안양동 674-132번지 지층,13992,031-441-5799,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,16:30,,,09:00,13:00,37.3989717,126.9216548
명인당약국,안양시,경기도 안양시 만안구 양화로 152-10,경기도 안양시 만안구 박달동 23-20번지,13986,031-443-4500,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,,,,,37.4061562,126.9090122
명진약국,안양시,경기도 안양시 만안구 안양로 147,경기도 안양시 만안구 안양동 504-21번지,14092,031-441-4656,08:00,21:30,08:00,21:30,08:00,21:30,08:00,21:30,08:00,21:30,08:00,21:00,,,,,37.3874053,126.9305548
모비우스햇살약국,안양시,경기도 안양시 동안구 시민대로 190,경기도 안양시 동안구 호계동 1040번지 힐스테이트 범계역 모비우스 134호,14072,031-360-3302,08:00,21:00,08:00,21:00,09:00,21:00,08:00,21:00,08:00,21:00,08:00,15:00,,,,,37.3909118,126.9515745
미담약국,안양시,경기도 안양시 만안구 태평로52번길 31,경기도 안양시 만안구 안양동 1390-3번지 1층 102호,14037,031-468-8697,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3959074,126.9310102
미래약국,안양시,경기도 안양시 만안구 안양로 327,경기도 안양시 만안구 안양동 695-32번지,14006,031-464-9842,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,20:30,,,,,37.4008984,126.9193577
미소약국,안양시,경기도 안양시 동안구 관악대로 340,경기도 안양시 동안구 관양동 1446-4번지 1층,13945,031-347-1136,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,16:00,,,,,37.4033106,126.9604893
미소지은온누리약국,안양시,경기도 안양시 동안구 관악대로 103,"경기도 안양시 동안구 비산동 550-1번지 에비뉴 6층 103호 610,611호",13924,031-466-5669,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,16:00,,,,,37.3991555,126.9354258
바람약국,안양시,경기도 안양시 동안구 귀인로190번길 39,경기도 안양시 동안구 평촌동 916번지 2층 201-1호,14103,031-360-5696,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3838539,126.9613403
바로약국,안양시,경기도 안양시 동안구 시민대로 372,경기도 안양시 동안구 관양동 900-4번지 평촌서울나우병원 112호,14058,031-423-3690,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,37.395906,126.9714898
바른약국,안양시,경기도 안양시 동안구 관악대로 480,경기도 안양시 동안구 관양동 1488-7번지 우정타운 1층 107호,13951,031-424-8802,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,08:30,15:00,,,,,37.4024854,126.9754094
밝은약국,안양시,경기도 안양시 동안구 관평로170번길 43,경기도 안양시 동안구 관양동 1607번지 훼미리타운 218-B호,14066,031-383-6888,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,16:00,,,,,37.3933176,126.9631706
백약국,안양시,경기도 안양시 동안구 시민대로 175,경기도 안양시 동안구 비산동 1108-1번지 동안프라자빌딩 116호,14048,031-388-1902,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,18:00,,,,,37.3913481,126.950419
백화점약국,안양시,경기도 안양시 동안구 관악대로 91,경기도 안양시 동안구 비산동 554-2번지 대림타워 102호,13925,031-465-9566,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,16:00,,,,,37.3989135,126.9338346
범계바른약국,안양시,경기도 안양시 동안구 시민대로 161,경기도 안양시 동안구 비산동 1107번지 안양무역센터 1층 108호,14048,031-000-0000,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3905041,126.9491825
범계백두산약국,안양시,경기도 안양시 동안구 시민대로 138,경기도 안양시 동안구 호계동 904번지 104호,14077,031-427-1440,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3884335,126.9478082
범계세명약국,안양시,경기도 안양시 동안구 동안로 120,경기도 안양시 동안구 호계동 1051번지 평촌스포츠센타 7층 710호 일부호,14072,031-381-6092,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,37.3895629,126.9522508
범계약국,안양시,경기도 안양시 동안구 시민대로 167,경기도 안양시 동안구 비산동 1107-1번지 안양벤처텔 108호 일부호(비산동),14048,031-388-5575,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,16:00,,,,,37.3908126,126.9496321
범계역홈약국,안양시,경기도 안양시 동안구 동안로 120,경기도 안양시 동안구 호계동 1051번지 평촌스포츠센타 104호,14072,031-388-1823,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,,,,,,,37.3895629,126.9522508
베데스다약국,안양시,경기도 안양시 동안구 흥안대로 415,경기도 안양시 동안구 평촌동 126-1번지 두산벤처다임 139호,14059,031-478-2799,10:00,19:30,10:00,19:30,10:00,19:30,10:00,19:30,10:00,19:30,,,,,,,37.3916492,126.9729996
베스트팜약국,안양시,경기도 안양시 동안구 귀인로 198,"경기도 안양시 동안구 평촌동 361번지 베스트상가 111,112호",14103,031-388-7879,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,16:00,,,,,37.3854484,126.9611369
보건약국,안양시,경기도 안양시 만안구 안양로314번길 26,경기도 안양시 만안구 안양동 674-17번지,13992,031-449-9793,08:30,22:30,08:30,22:30,08:30,22:30,08:30,22:30,08:30,22:30,09:00,14:30,09:30,22:30,09:30,22:30,37.4007214,126.9218673
