kidgartn_nm,sido_nm,signgu_nm,kidgartn_type_div_nm,refine_road_nm_addr,refine_zipno,kidgartn_telno,kidgartn_faxno,nrsryrm_cnt,playgrnd_cnt,cctv_instl_cnt,chldcare_schlstaf_cnt,fnop_cnt,atndskl_vehcle_opr_yn,hmpg_addr,wgs84_lat,wgs84_logt,dat_crtr_ymd
토브키즈어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 화창로92번길 25 (석수동),13905,031-474-3004,031-474-3004,4,0,5,0,49,N,https://tovkids.kidsnote.ac,37.41244567,126.9044406,20250725
J무지개어린이집,경기도,안양시만안구,민간,경기 안양시 만안구 박달1동 57-9 ,13987,031-443-3261,031-468-4400,0,0,0,0,55, ,마더링,,,20250725
장미어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 박달로539번길 45 (박달동),13987,031-446-5582,031-443-7272,5,1,8,0,77,Y,,37.40442145,126.9115265,20250725
엔젤어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 석수로178번길 21 (석수동),13975,031-472-8930,031-472-5449,4,0,4,0,33,Y,,37.40660425,126.8967974,20250725
햇빛 어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 양화로 53 정우상가201 (안양동),14010,031-446-0117,031-446-0117,4,0,6,0,34,Y,,37.39820798,126.912626,20250725
자연숲어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 박달로545번길 18 (안양동),13988,031-443-7065,031-465-5604,5,1,0,0,65,Y,,37.40338601,126.9134717,20250725
우주어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 석수로166번길 27 (석수동),13975,031-471-9116,0504-246-1638,9,3,11,0,99,Y,,37.40558449,126.897402,20250725
꿈이있는어린이집,경기도,안양시,국공립,경기도 안양시 만안구 충훈로90번길 47 (석수동),13972,031-472-9176,031-472-9175,6,1,10,15,82,N,dream2.kid,37.40956748,126.8995655,20250725
인덕원삼성어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 안양판교로 40 인덕원삼성아파트 단지내,13943,031-422-1601,031-422-1602,4,0,7,15,46,N,,37.39845598,126.979259,20250725
이편한세상어린이집,경기도,안양시동안구,가정,경기도 안양시 동안구 흥안대로414번길 39 인덕원대림2차아파트 관리동1층,14063,031-421-8222,031-421-8222,3,1,4,7,20,N,,37.39156846,126.9764074,20250725
별두리키즈어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 평의길 59 1층,14062,031-425-0391,031-425-0392,6,0,7,14,36,N,,37.39400102,126.9765356,20250725
성원어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 양화로 10 (안양동),14003,031-466-2772,031-466-2945,7,0,10,0,70,Y,,37.39491794,126.9157352,20250725
이화뜰어린이집,경기도,안양시만안구,민간,경기 안양시 만안구 안양5동 618-100번지 ,14031,031-468-6500,031-445-1004,4,0,0,0,22, ,,,,20250725
엄지어린이집,경기도,안양시,국공립,경기도 안양시 동안구 경수대로 725 (호계동),14077,031-456-2208,031-456-2203,6,1,16,14,77,N,,37.38691781,126.9498203,20250725
현대하은어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 귀인로 210 현대홈타운 관리동 1층,14103,031-387-5586,031-387-5586,4,9,4,11,36,N,,37.38544454,126.9620993,20250725
예향키즈피아어린이집,경기도,안양시동안구,가정,경기도 안양시 동안구 흥안대로223번길 47 119동 105호,14106,031-429-3030,031-429-3030,4,2,6,8,20,N,,37.3751147,126.9651403,20250725
재능어린이집,경기도,안양시동안구,민간,경기 안양시 동안구 관양1동 1380 ,13936,031-383-6868,031-383-6868,4,1,0,0,39, ,,,,20250725
미래어린이집,경기도,안양시만안구,민간,"경기도 안양시 만안구 박달로 453 관리동 1층(박달동, 한라아파트)",13979,031-464-1600,031-464-1601,4,1,4,9,54,Y,,37.40300093,126.9018301,20250725
현어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 삼봉로 15-10 ,14017,031-449-9553,031-624-5593,7,4,16,0,124,Y,,37.40106169,126.90531,20250725
가람어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 양화로105번길 85 (박달동),14009,031-466-0102,031-466-0102,5,0,0,0,45,Y,,37.40124084,126.9094852,20250725
참사랑어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로539번길 44 (호계동),,031-454-5485,031-454-0301,3,0,4,0,48,Y,,37.37035597,126.9551757,20250725
한림어린이집,경기도,안양시동안구,민간,경기 안양시 동안구 호계3동 현대홈타운2차아파트 811 한림어린이집 ,,031-451-7771,031-451-7780,0,0,0,0,139, ,,,,20250725
해와달어린이집,경기도,안양시,국공립,경기도 안양시 동안구 동안로 153 (동안여성회관 1층 해와달어린이집),14048,031-384-7897,031-381-6730,6,1,15,19,85,N,cafe.daum.net/sunNmoon,37.39174071,126.9497665,20250725
영재사관어린이집,경기도,안양시,직장,"경기도 안양시 동안구 학의로 90 203동 105호(비산동, 샛별마을한양4차2단지아파트)",14043,031-385-3301,031-385-3301,3,0,0,0,19, ,,37.39518638,126.9498698,20250725
비산어린이집,경기도,안양시,국공립,경기도 안양시 동안구 관악대로106번길 70 (비산동),13954,031-385-3046,031-388-1048,9,2,16,22,130,N,,37.39798821,126.9386757,20250725
해누리어린이집,경기도,안양시,국공립,경기도 안양시 만안구 소곡로 72 (안양동),14090,031-442-2220,031-442-2227,6,2,29,14,75,N,,37.38790129,126.9223261,20250725
예인어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 관악대로249번길 25 (비산동),13941,031-385-2772,031-384-2771,4,0,4,0,31,Y,,37.40322452,126.9501518,20250725
코끼리어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로539번길 7 ,,031-452-2885,031-455-2885,6,2,0,0,63,Y,,37.3705936,126.9571888,20250725
꿈사랑어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 박달로539번길 58-3 ,13987,031-349-8688,031-349-8688,8,1,9,0,43,Y,,37.40523319,126.9115147,20250725
새샘어린이집,경기도,안양시,국공립,경기도 안양시 만안구 안양로384번길 50 (안양동),13990,031-468-3293,031-468-3291,6,2,9,13,82,N,//cafe.daum.net/saemchild,37.40506577,126.9178153,20250725
인덕원어린이집,경기도,안양시,국공립,경기도 안양시 동안구 인덕원로24번길 60 (관양동),13951,031-421-0401,031-421-0402,6,2,14,13,77,N,,37.39956537,126.9751137,20250725
호성어린이집,경기도,안양시,국공립,경기도 안양시 동안구 포도원로27번길 39 호성어린이집 (호계동),14128,031-455-8367,031-455-8368,6,1,13,13,77,N,http://www.anyangymca.or.kr,37.36381744,126.9642245,20250725
비산사회복지관어린이집,경기도,안양시,국공립,경기도 안양시 동안구 임곡로 74 (비산동),13916,031-441-3003,031-441-9983,4,0,7,10,37,N,http://cafe.daum.net/bisanilove,37.40588948,126.9340655,20250725
초원의꿈어린이집,경기도,안양시동안구,민간,"경기도 안양시 동안구 부림로 55 898동 6호(평촌동, 초원마을대원3단지아파트)",14070,031-387-8888,031-384-1223,5,1,8,10,82,N,"chowon3878888@daum,net",37.38871912,126.9675236,20250725
한빛어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 관평로336번길 12 (관양동),13931,031-423-0268,031-423-0268,5,2,11,10,61,Y,,37.40578496,126.9587705,20250725
차니민어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로570번길 44 2층 (호계동),,031-451-3207,--,4,0,4,0,21,Y,차니민(다음),37.37435036,126.9600802,20250725
늘희망어린이집,경기도,안양시,국공립,경기도 안양시 만안구 명학로5번길 12 (안양동),14096,031-449-3040,031-465-6080,6,1,9,12,80,N,http://cafe.daum.net/neulheemang,37.37784465,126.938123,20250725
한가람어린이집,경기도,안양시동안구,민간,"경기도 안양시 동안구 학의로 146 (관양동, 한가람삼성아파트단지 내)",14049,031-384-5484,031-384-5483,4,1,12,0,52,Y,************************,37.39981214,126.955536,20250725
비산키즈숲어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 덕천로 182 (비산동),14039,031-441-7702,031-468-6436,4,0,4,0,27,Y,,37.3948083,126.9400146,20250725
조은샘어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 양화로115번길 30 (박달동),13984,031-468-4483,070-4369-4483,4,1,6,0,52,Y,,37.40323773,126.9084273,20250725
디딤어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로 713 디딤빌딩 (호계동),14077,031-454-4324,031-454-4321,7,1,14,17,86,N,www.dedeam.com,37.38530685,126.95085,20250725
비타민어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 매곡로53번길 11 (비산동),,031-388-0545,031-388-0545,3,0,0,0,33,Y,,37.40617,126.942444,20250725
서머힐어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 갈산로 35 201호,14109,031-457-0999,031-452-0411,3,1,4,0,32,Y,www.sumhill.co.kr,37.37513204,126.961465,20250725
수피아어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 삼덕로 50 (안양동),14000,031-441-1189,--,7,2,15,9,86,Y,,37.39381342,126.9205802,20250725
희망어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 태평로8번길 11 (안양동),,031-444-2779,--,3,0,0,0,24, ,,37.39236981,126.9337756,20250725
제니콩키즈어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 관평로319번길 29 ,13936,031-385-5964,031-385-5964,4,0,7,0,21,N,,37.40510466,126.9559098,20250725
민들레어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 관악대로339번길 52-19 ,13938,031-421-0881,031-421-0891,11,1,18,15,153,Y,,37.40581432,126.9622129,20250725
하은어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 평촌대로374번길 50 (비산동),13941,031-388-4697,031-388-4697,4,2,0,0,80,Y,싸이월드하은예체능어린이집,37.40355834,126.9524344,20250725
리틀하은어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 관악대로275번길 21 (비산동),13941,031-385-4697,031-385-4697,5,1,0,0,39,Y,,37.40348657,126.9530803,20250725
관양어린이집,경기도,안양시,국공립,경기도 안양시 동안구 일동로200번길 33 (관양동),13939,031-425-6824,031-425-6823,5,4,12,15,80,N,https://cafe.naver.com/kyang0314256824,37.40558033,126.9663592,20250725
희망특수어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 비산로 34 희망특수어린이집 (비산동),13924,031-468-5585,031-441-3328,4,1,5,0,29,Y,www.elpis21.org,37.40041785,126.9313575,20250725
예지어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 충훈로83번길 24 (석수동),13974,031-474-2218,031-624-2238,5,2,14,10,40,N,,37.40648859,126.8986956,20250725
삼성어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 학의로 146 201동 104호(관양동, 한가람삼성2단지아파트)",14049,031-386-2757,--,4,0,4,0,19,N,,37.39981214,126.955536,20250725
옹달샘어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로539번길 26-34 ,,031-458-5448,031-458-5447,4,0,0,0,32,Y,,37.37208891,126.9562175,20250725
푸른별어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 임곡로80번길 33 118동 107호(비산동, 그린빌주공아파트)",13916,031-445-1052,--,3,0,3,0,11,N,http://cafe.naver.com/bluestarkid,37.407997,126.935394,20250725
금빛어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구  관악대로 135 133동 101호(비산동, 삼성래미안)",13922,031-344-1717,0504-064-2321,4,0,4,8,20,N,,37.39947457,126.9380476,20250725
파란별어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 경수대로883번길 33 104동 102호(비산동, 비산한화꿈에그린아파트)",13955,031-425-7654,--,3,0,4,7,20,N,,37.39678799,126.9351954,20250725
이화어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 안양판교로 42 105동 107호(관양동, 인덕원마을삼성아파트)",13943,031-421-3889,031-421-3888,4,0,4,7,20,N,http://cafe.naver.com/anyangewha,37.39874475,126.9793686,20250725
새싹어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 평촌대로253번길 18 616동 103호(비산동, 샛별마을한양4차6단지아파트)",14046,031-386-6254,--,3,0,3,6,13,N,,37.39459,126.952324,20250725
작은하늘어린이집,경기도,안양시동안구,가정,경기도 안양시 동안구 경수대로883번길 33 한화꿈에그린아파트 109-101 (살림겸용) (비산동),13955,031-471-7281,--,2,0,3,0,20,N,,37.39600838,126.9368886,20250725
행복한우리어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 평촌대로211번길 21 303동 108호(호계동, 목련마을우성3단지아파트)",14075,031-383-6729,0504-207-5179,3,0,4,6,13,N,,37.38924669,126.9553743,20250725
보물어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 시민대로159번길 62 204동 104호(비산동, 은하수벽산아파트)",14045,070-7535-3564,0504-048-7339,4,0,4,0,19,N,,37.39324931,126.9471311,20250725
리베도만어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 관악대로287번길 91 (관양동),13933,031-388-7752,031-386-7752,4,0,6,0,34,Y,kw.domanschool.co.kr,37.40695363,126.9546857,20250725
푸른나무어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 연현로79번길 84 405동 104호(석수동, 석수엘지빌리지)",13903,031-474-0633,031-474-0633,3,0,4,6,20,N,,37.42838481,126.9011635,20250725
꿈꾸는어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 연현로1번길 76 110동 101호(석수동, 석수엘지빌리지)",13903,031-471-7959,031-341-0696,3,0,4,0,20,N,cafe.naver.com/lspch,37.427013,126.901436,20250725
베이비스타어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 안양천서로 245 26동 108호(안양동, 진흥)",,031-441-8211,--,3,0,0,0,18,Y,,37.39830596,126.9277948,20250725
다솔어린이집,경기도,안양시동안구,민간,경기 안양시 동안구 호계2동 924-26 ,14078,031-429-2442,--,3,1,0,0,39, ,,,,20250725
예원어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 박달로 453 111동 106호(박달동, 한라비발디)",13979,031-464-9659,031-464-9659,3,0,3,0,19,N,,37.40300093,126.9018301,20250725
작은하늘어린이집,경기도,안양시만안구,가정,경기 안양시 동안구 비산2동  572  한화꿈에그린@ 109동 101호 ,13955,031-471-7281,--,0,0,0,0,19, ,,,,20250725
고운꿈어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 안양천서로 311 102동 103호(안양동, 삼성래미안아파트)",13994,031-464-4748,031-464-4748,3,0,4,7,18,N,,37.40221652,126.9241214,20250725
화인어린이집,경기도,안양시동안구,가정,경기도 안양시 동안구 안양천동로 162 현대홈타운아파트 107-104 시설전용 (비산동),14039,031-449-1700,031-449-1700,3,0,4,0,17,N,,37.39400376,126.9405285,20250725
꿈땅어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 귀인로79번길 12 101동 101호(호계동, 엘디범계마을아파트)",14078,031-427-4279,031-427-4279,3,0,4,0,19,Y,,37.38276868,126.9490369,20250725
삼성아이사랑어린이집,경기도,안양시만안구,가정,경기도 안양시 만안구 예술공원로 57 101동 106호,13957,031-471-5373,0504-722-3912,4,0,4,0,19,N,,37.41330754,126.9166177,20250725
어린왕자어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 양화로 76 (안양동),14004,031-465-6995,031-465-6995,4,0,0,0,36,Y,,37.40027607,126.9127744,20250725
즐거운 애플어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 양화로 84 (안양동),14004,031-441-5522,--,3,0,4,0,33,Y,,37.40081995,126.912322,20250725
삼성예원어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 안양천서로 311 103동 102호(안양동, 삼성래미안아파트)",13994,031-443-4862,--,3,0,4,0,20,N,,37.40178672,126.9243459,20250725
호계샘어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로685번길 17 (호계동),14078,031-456-4188,031-456-4189,5,0,8,0,41,Y,,37.38272647,126.9512857,20250725
샘어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로 631 2층(호계동),,031-456-4127,031-455-4127,4,0,0,0,39,Y,,37.37863781,126.9543788,20250725
제니스키즈어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 평의길 55 (평촌동),14063,-9655,031-426-5188,11,3,22,14,178,N,http://www.zenithkids.com,37.39184299,126.9784125,20250725
샘솟는어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로556번길 45-14 ,,031-457-2763,--,2,1,3,0,21,N,,37.37391401,126.9599508,20250725
꼬마동이어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 만안로 453 (석수동),13962,031-472-0703,031-471-1566,5,0,6,12,49,Y,,37.41791547,126.909065,20250725
대림어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 경수대로 1193 석수대림아파트  관리동1층,13961,031-347-5656,031-347-5656,4,0,7,11,39,N,,37.41487518,126.9140412,20250725
한우리 어린이집,경기도,안양시동안구,민간,"경기도 안양시 동안구 비산로 27 , 29 (비산동)",13925,031-444-2621,031-444-2622,8,2,16,23,145,N,http://www.hanuri21.or.kr,37.40010415,126.9319414,20250725
사랑가득한어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 관양로 189-46 102호 (관양동,유정연립)",13948,031-347-1449,031-347-1449,3,0,4,0,20,N,,37.40299202,126.9702224,20250725
샘물그린어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 문예로 15 (안양동),14092,031-447-0843,031-447-0840,4,0,0,0,41,Y,,37.38466056,126.9296096,20250725
죠이어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 관악대로213번길 10-4 동아상가 C동 201호,,031-386-0077,031-386-0077,3,1,4,0,26,N,,37.40080867,126.9464922,20250725
자연어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 석수로 512 ,13902,031-472-0843,031-473-0843,15,6,16,19,150,Y,,37.43351836,126.9006341,20250725
만안플러스어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 박달로545번길 32 (안양동),13988,031-449-1573,031-449-1574,6,2,6,0,82,Y,*********************,37.40407292,126.9134065,20250725
이삭어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 귀인로110번길 19 이삭어린이집 (호계동),,031-452-5552,031-452-5552,4,0,0,0,36,N,WWW.issackids.co.kr,37.38154121,126.9523636,20250725
우암키즈어린이집,경기도,안양시동안구,민간,경기도 안양시 동안구 경수대로595번길 7 (호계동),,031-456-0766,031-381-2238,8,2,12,0,91,Y,,37.37527899,126.9558458,20250725
새봄어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 문예로18번길 26 (안양동),14093,031-464-5449,031-464-5448,10,2,16,24,139,Y,http://cafe.naver.com/saebom5449,37.38354303,126.9306813,20250725
리틀청명어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 안양로213번길 5 (안양동),14030,031-468-1533,031-468-6547,6,0,8,13,31,N,,37.39202503,126.9263428,20250725
리틀원동방어린이집,경기도,안양시만안구,민간,"경기도 안양시 만안구 삼봉로 61 149동 1호(박달동, 금호타운)",14017,031-447-5915,031-447-5916,3,0,5,0,43,Y,,37.39918458,126.9014013,20250725
서진어린이집,경기도,안양시,직장,경기도 안양시 만안구 전파로44번길 56 서진어린이집 (안양동),14087,031-466-6607,031-466-2675,3,1,0,0,20,N,,37.38783162,126.9377301,20250725
꿈돌이 어린이집,경기도,안양시동안구,가정,경기 안양시 동안구 평촌동 899-7 향촌아파트 106동 101호(살림겸용) ,14071,031-383-3524,--,3,0,0,0,20, ,,,,20250725
둥근어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 학의로 20 135동 106호(비산동, 관악청구아파트)",14044,031-387-1983,031-387-1983,4,0,0,0,16,Y,cafe.daum.net/roundmoon1,37.39481088,126.943222,20250725
무궁화어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 동안로 6 506동 103호(호계동, 무궁화마을진흥5단지아파트)",14099,031-382-7106,0504-161-7106,3,2,4,6,20,N,,37.38040588,126.9576661,20250725
현대다사랑어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 귀인로 193 201동 101호(평촌동, 향촌현대2단지아파트)",14071,031-382-7663,031-382-7663,4,0,4,7,20,N,,37.38673469,126.9603879,20250725
드림어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 평촌대로180번길 28 306동 104호(평촌동, 향촌롯데3단지아파트)",14071,031-386-1716,--,4,0,4,6,20,N,,37.38756103,126.9590779,20250725
늘푸른동산어린이집,경기도,안양시동안구,가정,경기도 안양시 동안구 흥안대로456번길 17 대우아파트 108-103호 (전용) (평촌동),14061,031-424-5679,--,4,0,6,0,20,N,,37.39482883,126.9791106,20250725
해피아이어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 포도원로27번길 44 102동 103호(호계동, 호계현대아파트)",14128,031-451-3003,--,4,0,4,0,19,N,,37.38591746,126.9489896,20250725
베베키즈어린이집,경기도,안양시동안구,가정,경기도 안양시 동안구 호성로 37 일신건영장미아파트 101동 107호,14127,031-429-6992,--,4,1,4,7,20,Y,,37.364945,126.9592539,20250725
베베맘어린이집,경기도,안양시동안구,가정,경기도 안양시 동안구 경수대로665번길 18 성실연립 103호 (호계동),,031-453-0124,--,3,0,0,0,10,N,,37.38128645,126.9520849,20250725
스마트어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 경수대로 458 204동 102호(호계동, 호계현대홈타운2차아파트)",14125,031-342-3927,031-342-3927,5,1,5,10,20,N,,37.36516789,126.9605208,20250725
육아일기어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 동안로 11 712동 101호(호계동, 무궁화코오롱아파트)",14100,031-341-7811,--,3,0,4,8,20,N,,37.38005849,126.9563448,20250725
자람어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 경수대로707번길 57 101동 104호(호계동, 신도브래뉴아파트)",14078,031-341-8268,031-453-8358,4,0,4,7,19,Y,,37.38356711,126.9486418,20250725
아화오르다어린이집,경기도,안양시만안구,민간,경기도 안양시 만안구 덕천로 115-1 ,14038,031-448-8400,031-448-8411,5,0,0,0,49,Y,,37.39143577,126.9338159,20250725
평촌큰별어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 학의로 168 507동 106호(관양동, 공작마을럭키5단지아파트)",14050,031-386-8806,--,3,0,3,0,13,N,,37.40060897,126.9576111,20250725
꿈나무어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 부림로 80 611동 103호(평촌동, 초원마을한양6단지아파트)",14069,070-4177-3003,--,3,0,4,7,18,N,,37.39155902,126.9670661,20250725
은가비어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 달안로 61 105동 111호(비산동, 샛별마을한양4차1단지아파트)",14043,031-476-0202,031-476-0202,2,0,2,6,11,N,,37.3983082,126.9504395,20250725
리틀샘 어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 경수대로685번길 12 301동 108호(호계동, 임광그대가3차아파트)",14078,031-342-3193,031-340-7480,3,0,4,0,20,Y,,37.38329639,126.9511332,20250725
한마음어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 경수대로797번길 12 203동 104호(호계동, 한마음임광2차아파트)",14040,031-425-0396,--,3,0,4,7,15,N,,37.39110867,126.9439549,20250725
초원나라어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 관평로138번길 53 706동 102호(평촌동, 초원마을부영7단지아파트)",14068,031-388-9474,--,3,0,4,4,13,N,*******************,37.39186204,126.9648548,20250725
비산본어린이집,경기도,안양시동안구,가정,경기도 안양시 동안구 매곡로 25 효성상아빌라1동102호,13917,031-383-2568,031-383-2568,4,0,4,0,19,N,,37.40601223,126.9434566,20250725
보물섬어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 부림로 52 503동 103호(평촌동, 초원마을LG5단지아파트)",14069,031-421-7853,031-421-7853,4,0,4,0,19,N,,37.38925695,126.9685529,20250725
무화과나무어린이집,경기도,안양시동안구,가정,"경기도 안양시 동안구 관평로138번길 63 701동 106호(평촌동, 초원마을부영7단지아파트)",14068,031-388-7857,--,4,0,0,0,13,N,,37.39186204,126.9648548,20250725
튼튼어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 양화로135번길 80 101동 106호(박달동, 박달1차 한신휴플러스)",13981,031-465-0723,031-465-0723,4,0,4,0,19,N,,37.40461786,126.9051803,20250725
깨비어린이집,경기도,안양시만안구,가정,경기도 안양시 만안구 수리산로 54 ,14034,031-466-0603,031-466-0603,3,0,2,0,20,N,,37.38912955,126.9318724,20250725
즐거운가정어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 안양천서로 245 123동 109호(안양동, 진흥)",,031-447-6713,--,3,0,4,0,20,N,,37.39830596,126.9277948,20250725
대우사랑샘어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 경수대로1001번길 116 101동 102호(안양동, 대우)",13959,031-472-0233,--,3,0,4,7,18,N,,37.40544186,126.9232813,20250725
아가별어린이집,경기도,안양시만안구,가정,"경기도 안양시 만안구 안양천서로 245 125동 112호(안양동, 진흥)",,031-446-6888,031-446-6888,2,0,3,0,16,N,,37.39830596,126.9277948,20250725
미소어린이집,경기도,안양시만안구,가정,경기도 안양시 만안구 냉천로115번길 25 (안양동),,031-465-8716,031-465-8716,2,0,0,0,15,N,,37.39067276,126.9231967,20250725
