bizplc_nm,medinst_asortmt_nm,bsn_state_nm,licensg_ymd,clsbiz_ymd,refine_road_nm_addr,refine_lotno_addr,refine_zipno,locplc_faclt_telno_dtls,medstaf_cnt,hosptlrm_cnt,sickbd_cnt,tot_ar,treat_sbject_cont_info,refine_wgs84_lat,refine_wgs84_logt
우리병원,병원,폐업,20080630,20130805,"경기도 안양시 만안구 안양로 375 (안양동,838-15 지하1층~지상5층(본원),838-19지상1층(별관))","경기도 안양시 만안구 안양2동 838번지 12호  838-15 지하1층~지상5층(본원),838-19지상1층(별관)",13988,031-463-0005,25,14,64,1734.13,"내과, 외과, 정형외과, 신경외과, 산부인과, 소아청소년과, 영상의학과",37.4044621318,126.9163586088
원천의료재단 앞선중화요양병원,요양병원(일반요양병원),영업중,20111110,,"경기도 안양시 만안구 관악대로 8, 중화한방병원 3,4층 (안양동)",경기도 안양시 만안구 안양동 380-13 중화한방병원,14032,031-449-0200,17,30,140,2530.82,"내과, 정신건강의학과, 외과, 재활의학과, 가정의학과, 한방내과, 한방신경정신과, 한방재활의학과, 침구과",37.3943607011,126.9261640371
원천의료재단 앞선중화한방병원,한방병원,영업중,19920523,,"경기도 안양시 만안구 관악대로 10, 중화한방병원 1~2층 (안양동)",경기도 안양시 만안구 안양동 380-10 중화한방병원 1~2층,14032,031-449-0001,5,12,39,2457.47,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",37.3944703962,126.9264795296
의료법인 인산의료재단 메트로요양병원,요양병원(일반요양병원),폐업,20080807,20220308,경기도 안양시 만안구 명학로33번길 8 (안양동),경기도 안양시 만안구 안양동 342번지 105호,14096,031-467-9000,16,37,185,2543,"내과, 신경외과, 가정의학과, 한방내과, 침구과",37.3783077894,126.9356386574
의료법인 토마스의료재단 안양윌스기념병원,병원,영업중,20120201,,"경기도 안양시 동안구 경수대로 560, 안양남부새마을금고 2-8층 (호계동)",경기도 안양시 동안구 호계동 995-4번지 안양남부새마을금고 2-8층,14112,031-460-1000,99,17,100,6126.27,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 피부과, 비뇨의학과, 영상의학과",37.3727618917,126.9582460427
의료법인 해뜨는 요양병원,요양병원(일반요양병원),영업중,20080822,,경기도 안양시 만안구 현충로 18 (안양동),경기도 안양시 만안구 안양6동 397번지 20호,14032,031-446-0048,18,19,103,1967,"외과, 가정의학과, 침구과",37.3925077851,126.9288329956
의료법인서원의료재단김형근예병원,병원,영업중,20010731,,"경기도 안양시 동안구 관악대로 458, 지하1층~지상8층 (관양동, 서진빌딩,456의2층~3층)","경기도 안양시 동안구 관양동 1480-1번지 서진빌딩,456의2층~3층 지하1층~지상8층",13949,031-421-7575,19,12,56,2797.27,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과",37.403738191,126.9733443658
인산의료재단 메트로병원,종합병원,영업중,19830525,,"경기도 안양시 만안구 명학로33번길 8 (안양동, 메트로병원)",경기도 안양시 만안구 안양동 342번지 105호 메트로병원,14096,031-467-9000,120,69,203,11507.12,"내과, 외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 비뇨의학과, 영상의학과, 진단검사의학과, 가정의학과, 직업환경의학과, 치과보존과",37.3783077894,126.9356386574
자강한방병원,한방병원,영업중,20200612,,"경기도 안양시 동안구 흥안대로 519, 아이퍼스트타워 13층, 14층 (관양동)","경기도 안양시 동안구 관양동 1502-6번지 아이퍼스트타워 13층, 14층",13951,1670-1855,17,25,49,1699.36,"이비인후과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",37.4003344455,126.976147584
평촌서울나우병원,병원,영업중,20150217,,"경기도 안양시 동안구 시민대로 372, 평촌서울나우병원 (관양동)",경기도 안양시 동안구 관양동 900-4 평촌서울나우병원,14058,031-1588-2012,102,29,95,8260.95,"내과, 정형외과, 마취통증의학과, 영상의학과",37.3959060084,126.9714898628
평촌예치과병원,치과병원,영업중,20030610,,"경기도 안양시 동안구 시민대로 167, 201~203호 (비산동, 안양벤처텔)",경기도 안양시 동안구 비산동 1107-1번지 안양벤처텔 201~203호,14048,031-440-8275,1,0,0,226,"구강악안면외과, 치과보철과, 치주과, 치과보존과, 예방치과",37.390812691,126.9496321803
평촌우리병원,병원,영업중,20130726,,"경기도 안양시 동안구 관악대로 221, 지하2~지상7층 (비산동)",경기도 안양시 동안구 비산동 246-3번지 지하2~지상7층,13919,031-463-0023,52,20,84,4502.78,"내과, 신경과, 외과, 정형외과, 신경외과, 영상의학과",37.4010609932,126.9476364999
평촌중앙병원,정신병원,영업중,19990324,,"경기도 안양시 동안구 평촌대로223번길 49, 아트타워빌딩 3층, 4층 (호계동)","경기도 안양시 동안구 호계동 1046번지 6호 아트타워빌딩, 3층 4층",14072,031-387-0114,5,12,58,783.34,"내과, 정신건강의학과",37.3903509134,126.9530697992
하늘빛재활의학병원,병원,영업중,20120403,,경기도 안양시 동안구 경수대로 887(비산동),경기도 안양시 동안구 비산동 466-5,13955,031-451-0090,34,31,120,5491.82,"내과, 정형외과, 신경외과, 재활의학과",37.3965155353,126.937535758
한림대학교성심병원,종합병원,영업중,19981217,,경기도 안양시 동안구 관평로170번길 22 (평촌동),경기도 안양시 동안구 평촌동 896번지,14068,031-380-1500,1626,153,811,53377,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치과보존과",37.3916536825,126.961973707
한성병원,병원,폐업,19830331,20240829,경기도 안양시 동안구 경수대로 525 (호계동),경기도 안양시 동안구 호계동 968번지 18호,14120,031-452-0011,5,56,240,5014.93,"내과, 외과, 정형외과, 영상의학과",37.3695852713,126.9574218556
효산의료재단 샘여성병원,병원,폐업,20040401,20190311,경기도 안양시 만안구 안양로 215 (안양동),경기도 안양시 만안구 안양동 456번지 8호,14030,031-467-1000,45,16,30,5667.35,"내과, 외과, 성형외과, 산부인과, 소아청소년과",,
효산의료재단 샘한방병원,한방병원,폐업,19990429,20160115,경기도 안양시 만안구 안양로 215 (안양동),경기도 안양시 만안구 안양5동 456-8,14030,031-463-4316,8,5,30,1640.6,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과",37.3924199634,126.9262057802
효산의료재단 안양샘병원,종합병원,영업중,19770218,,"경기도 안양시 만안구 삼덕로 9 (안양동, 안양샘병원)",경기도 안양시 만안구 안양동 613번지 8호 안양샘병원,14030,031-467-9114,492,97,326,30960.54,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 한방내과, 침구과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과",37.3928939479,126.9248195521
